St;Var2;Var3;Var4;Var5;Var6;Var7
GPS U;1;0.515977034774064;0.101733866260923;0.513190480808291;0;2.72811052209669e-96
GPS V;1;0.894631702687408;0.15;0.892565480147897;1;0.74554036755477
GPS W;1;0.891024110698015;0.15;0.888924244640022;0;0.0177133782665451
GPS X;1;0.947553332407856;0.15;0.946137715226667;0;4.96098382257963e-05
GPS Y;1;0.937729891649312;0.15;0.93616578653039;0;1.29751453692005e-16
GPS Z;1;0.682870985916527;0.15;0.679932008719998;1;0.763429769122905
GPS \Phi;1;0.800874384291981;0.15;0.798200165256627;1;0.995645132528786
GPS \Theta;1;0.703153031740916;0.15;0.700232167293272;1;0.374103477569049
GPS \Psi;1;0.493319071634173;0.0915618611965422;0.490586775143724;0;6.04016729247936e-60
Airdata Vtas;1;0.886581560666963;0.15;0.884441701042306;1;0.106706737483881
Airdata \alpha;1;0.570010049991591;0.139527744477468;0.567123178251427;1;0.194472518467801
Airdata \beta;1;0.783221976201682;0.15;0.780480359287897;1;0.226437625081453
