St;Var2;Var3;Var4;Var5;Var6;Var7
GPS U;1;0.891123702112442;0.15;0.889024750559685;0;0.0360033882300696
GPS V;1;0.818644194777759;0.15;0.816050295527433;1;0.486255404396506
GPS W;1;0.37809417219553;0.046071324225315;0.375735414139257;1;0.976255906242194
GPS X;1;0.961170257218793;0.15;0.959991428217606;0;3.76479671647263e-17
GPS Y;1;0.646402468829598;0.15;0.643453836921257;0;0.0155297409999866
GPS Z;1;0.833757792398877;0.15;0.83124315208616;1;0.234923741071808
GPS \Phi;1;0.473837667469424;0.0832834305884773;0.471157372489757;0;0.010694484568231
GPS \Theta;1;0.980530345636624;0.15;0.979780771305993;1;0.777277316431928
GPS \Psi;1;0.330074854172958;0.0367784483466356;0.327915445580346;1;0.765526243136945
Airdata Vtas;1;0.856156444658577;0.15;0.85378029427022;1;0.120263875898028
Airdata \alpha;1;0.277222177672595;0.0254211037245811;0.275309869777196;1;0.442853391517184
Airdata \beta;1;0.765454296682327;0.15;0.7626560982242;1;0.121782022944401
