St;Var2;Var3;Var4;Var5;Var6;Var7
GPS U;1;0.866211415845728;0.15;0.863906643672684;1;0.798405755195241
GPS V;1;0.975412568615872;0.15;0.974535166616961;1;0.0716514656708543
GPS W;1;0.72050790938331;0.15;0.71761050175922;0;6.0901457231177e-11
GPS X;1;0.983782318470221;0.15;0.983121487474065;0;4.91543382060761e-18
GPS Y;1;0.86801323606922;0.15;0.865721915916617;1;0.254699150571764
GPS Z;1;0.99875230333979;0.15;0.998657240859765;1;0.580717163166732
GPS \Phi;1;0.907583153331393;0.15;0.905647028722187;1;0.0603928550303377
GPS \Theta;1;0.848960380859076;0.15;0.846536790494148;1;0.570020613409372
GPS \Psi;1;0.975038122843013;0.15;0.974151854463784;1;0.282863762323593
Airdata Vtas;1;0.91775299257285;0.15;0.915930395588424;1;0.805510791228767
Airdata \alpha;1;0.842757247408634;0.15;0.840295053030536;0;1.4827258759101e-07
Airdata \beta;1;0.994185473099581;0.15;0.993871125174825;1;0.470545445118169
