St;Var2;Var3;Var4;Var5;Var6;Var7
GPS U;1;0.959894338908414;0.15;0.958691510019626;1;0.204424779136524
GPS V;1;0.766159669062062;0.15;0.763363514858921;0;0.000258790500221354
GPS W;1;0.711514188944922;0.15;0.708603672979339;0;0.000857255282362717
GPS X;1;0.983108836633715;0.15;0.982429072501139;0;4.03897989557594e-21
GPS Y;1;0.499403802974775;0.0941159786528403;0.496656266496333;0;1.96376202631215e-06
GPS Z;1;0.750701500637798;0.15;0.747864166313788;1;0.350640139346656
GPS \Phi;1;0.983430518673203;0.15;0.982759759361476;1;0.774549484756148
GPS \Theta;1;0.84738269436517;0.15;0.844949089082903;0;0.000762909146793799
GPS \Psi;1;0.576615868367266;0.144065738841897;0.573719742295733;0;0.0108776510014909
Airdata Vtas;1;0.583424648482174;0.148728590048794;0.580519711938154;0;0.00397033046635781
Airdata \alpha;1;0.619406493908134;0.15;0.616467871595926;1;0.435994048700045
Airdata \beta;1;0.334407455139495;0.037652109581021;0.332229067725985;1;0.631888991922088
