St;Var2;Var3;Var4;Var5;Var6;Var7
GPS U;1;0.513941535123741;0.100281588712416;0.511159573821581;0;0.0292598625659485
GPS V;1;0.770281159953309;0.15;0.767497276688212;0;0.000238032281629472
GPS W;1;0.771639196007734;0.15;0.768859479426351;1;0.108599420532956
GPS X;1;0.864231646833101;0.15;0.861912331228672;0;1.04400267838858e-18
GPS Y;1;0.42009217451425;0.059491868487886;0.417579426927928;1;0.334715314492227
GPS Z;1;0.859723823887905;0.15;0.857372298054957;0;0.0101826423438793
GPS \Phi;1;0.999701966160964;0.15;0.999672453906322;1;0.427657130137656
GPS \Theta;1;0.690991368549212;0.15;0.688058487232616;1;0.480343276522756
GPS \Psi;1;0.91042315709502;0.15;0.908517661981085;0;0.00748558451612742
Airdata Vtas;1;0.437987371852041;0.0675877250226002;0.435415041618766;1;0.306356736037516
Airdata \alpha;1;0.639957916342393;0.15;0.637010412177601;0;0.0131116075074382
Airdata \beta;1;0.940679438956991;0.15;0.939158228565789;1;0.954934187332842
